Sun_x,Sun_y, Merc_x,Merc_y, Earth_x,Earth_y, Jup_x,Jup_y
1.179227e+07,1.237496e+06, -3.769634e+10,4.220345e+10, -7.137917e+10,1.302374e+11, 7.669013e+11,1.336131e+11
1.198591e+07,1.266265e+06, -4.081979e+10,3.934640e+10, -7.364683e+10,1.289812e+11, 7.667060e+11,1.347246e+11
1.218098e+07,1.295457e+06, -4.372140e+10,3.627559e+10, -7.589222e+10,1.276860e+11, 7.665092e+11,1.358358e+11
1.237748e+07,1.325069e+06, -4.638686e+10,3.300891e+10, -7.811466e+10,1.263522e+11, 7.663107e+11,1.369467e+11
1.257540e+07,1.355100e+06, -4.880338e+10,2.956515e+10, -8.031348e+10,1.249802e+11, 7.661106e+11,1.380574e+11
1.277474e+07,1.385548e+06, -5.095977e+10,2.596384e+10, -8.248803e+10,1.235705e+11, 7.659090e+11,1.391678e+11
1.297550e+07,1.416409e+06, -5.284642e+10,2.222514e+10, -8.463765e+10,1.221234e+11, 7.657057e+11,1.402778e+11
1.317767e+07,1.447682e+06, -5.445536e+10,1.836969e+10, -8.676170e+10,1.206394e+11, 7.655008e+11,1.413876e+11
1.338125e+07,1.479363e+06, -5.578023e+10,1.441844e+10, -8.885955e+10,1.191190e+11, 7.652943e+11,1.424971e+11
1.358623e+07,1.511450e+06, -5.681631e+10,1.039257e+10, -9.093057e+10,1.175627e+11, 7.650861e+11,1.436062e+11
1.379262e+07,1.543941e+06, -5.756044e+10,6.313321e+09, -9.297415e+10,1.159709e+11, 7.648764e+11,1.447151e+11
1.400040e+07,1.576832e+06, -5.801105e+10,2.201893e+09, -9.498966e+10,1.143440e+11, 7.646651e+11,1.458237e+11
1.420959e+07,1.610121e+06, -5.816810e+10,-1.920667e+09, -9.697652e+10,1.126827e+11, 7.644522e+11,1.469319e+11
1.442017e+07,1.643804e+06, -5.803301e+10,-6.033574e+09, -9.893414e+10,1.109875e+11, 7.642376e+11,1.480399e+11
1.463215e+07,1.677881e+06, -5.760864e+10,-1.011641e+10, -1.008619e+11,1.092587e+11, 7.640215e+11,1.491475e+11
1.484552e+07,1.712346e+06, -5.689924e+10,-1.414919e+10, -1.027593e+11,1.074971e+11, 7.638037e+11,1.502549e+11
1.506028e+07,1.747199e+06, -5.591034e+10,-1.811248e+10, -1.046257e+11,1.057030e+11, 7.635844e+11,1.513619e+11
1.527643e+07,1.782436e+06, -5.464876e+10,-2.198744e+10, -1.064606e+11,1.038771e+11, 7.633634e+11,1.524686e+11
1.549398e+07,1.818054e+06, -5.312246e+10,-2.575592e+10, -1.082635e+11,1.020200e+11, 7.631408e+11,1.535749e+11
1.571291e+07,1.854053e+06, -5.134055e+10,-2.940050e+10, -1.100338e+11,1.001321e+11, 7.629167e+11,1.546810e+11
1.593323e+07,1.890428e+06, -4.931316e+10,-3.290454e+10, -1.117709e+11,9.821417e+10, 7.626909e+11,1.557867e+11
1.615494e+07,1.927179e+06, -4.705141e+10,-3.625224e+10, -1.134745e+11,9.626666e+10, 7.624635e+11,1.568921e+11
1.637804e+07,1.964302e+06, -4.456733e+10,-3.942869e+10, -1.151439e+11,9.429020e+10, 7.622345e+11,1.579972e+11
1.660253e+07,2.001797e+06, -4.187380e+10,-4.241989e+10, -1.167787e+11,9.228541e+10, 7.620040e+11,1.591019e+11
1.682841e+07,2.039661e+06, -3.898444e+10,-4.521279e+10, -1.183784e+11,9.025289e+10, 7.617718e+11,1.602063e+11
1.705568e+07,2.077893e+06, -3.591362e+10,-4.779532e+10, -1.199425e+11,8.819327e+10, 7.615380e+11,1.613104e+11
1.728434e+07,2.116491e+06, -3.267634e+10,-5.015640e+10, -1.214707e+11,8.610716e+10, 7.613026e+11,1.624141e+11
1.751439e+07,2.155453e+06, -2.928816e+10,-5.228599e+10, -1.229623e+11,8.399522e+10, 7.610656e+11,1.635175e+11
1.774584e+07,2.194780e+06, -2.576519e+10,-5.417507e+10, -1.244171e+11,8.185808e+10, 7.608271e+11,1.646206e+11
1.797868e+07,2.234468e+06, -2.212397e+10,-5.581568e+10, -1.258345e+11,7.969639e+10, 7.605869e+11,1.657232e+11
1.821291e+07,2.274519e+06, -1.838145e+10,-5.720095e+10, -1.272143e+11,7.751081e+10, 7.603451e+11,1.668256e+11
1.844854e+07,2.314930e+06, -1.455493e+10,-5.832505e+10, -1.285559e+11,7.530200e+10, 7.601017e+11,1.679276e+11
1.868557e+07,2.355701e+06, -1.066198e+10,-5.918326e+10, -1.298590e+11,7.307064e+10, 7.598568e+11,1.690292e+11
1.892399e+07,2.396833e+06, -6.720389e+09,-5.977197e+10, -1.311231e+11,7.081740e+10, 7.596102e+11,1.701305e+11
1.916382e+07,2.438324e+06, -2.748126e+09,-6.008863e+10, -1.323481e+11,6.854296e+10, 7.593621e+11,1.712315e+11
1.940505e+07,2.480174e+06, 1.236732e+09,-6.013184e+10, -1.335334e+11,6.624802e+10, 7.591123e+11,1.723320e+11
1.964768e+07,2.522384e+06, 5.216050e+09,-5.990128e+10, -1.346788e+11,6.393326e+10, 7.588609e+11,1.734323e+11
1.989171e+07,2.564954e+06, 9.171690e+09,-5.939776e+10, -1.357839e+11,6.159939e+10, 7.586080e+11,1.745321e+11
2.013715e+07,2.607884e+06, 1.308557e+10,-5.862321e+10, -1.368485e+11,5.924712e+10, 7.583535e+11,1.756316e+11
2.038400e+07,2.651174e+06, 1.693973e+10,-5.758066e+10, -1.378721e+11,5.687715e+10, 7.580973e+11,1.767307e+11
2.063226e+07,2.694827e+06, 2.071637e+10,-5.627426e+10, -1.388546e+11,5.449019e+10, 7.578396e+11,1.778294e+11
2.088193e+07,2.738842e+06, 2.439791e+10,-5.470928e+10, -1.397956e+11,5.208697e+10, 7.575803e+11,1.789278e+11
2.113301e+07,2.783220e+06, 2.796709e+10,-5.289210e+10, -1.406949e+11,4.966822e+10, 7.573194e+11,1.800258e+11
2.138550e+07,2.827963e+06, 3.140697e+10,-5.083018e+10, -1.415523e+11,4.723465e+10, 7.570569e+11,1.811234e+11
2.163941e+07,2.873072e+06, 3.470104e+10,-4.853211e+10, -1.423674e+11,4.478701e+10, 7.567928e+11,1.822206e+11
2.189474e+07,2.918549e+06, 3.783327e+10,-4.600754e+10, -1.431401e+11,4.232602e+10, 7.565271e+11,1.833175e+11
2.215148e+07,2.964396e+06, 4.078818e+10,-4.326718e+10, -1.438702e+11,3.985243e+10, 7.562598e+11,1.844139e+11
2.240964e+07,3.010614e+06, 4.355088e+10,-4.032282e+10, -1.445575e+11,3.736697e+10, 7.559910e+11,1.855100e+11
2.266923e+07,3.057206e+06, 4.610721e+10,-3.718726e+10, -1.452017e+11,3.487039e+10, 7.557205e+11,1.866057e+11
2.293024e+07,3.104174e+06, 4.844372e+10,-3.387430e+10, -1.458027e+11,3.236345e+10, 7.554485e+11,1.877010e+11
2.319267e+07,3.151520e+06, 5.054783e+10,-3.039875e+10, -1.463603e+11,2.984688e+10, 7.551749e+11,1.887959e+11
2.345652e+07,3.199247e+06, 5.240783e+10,-2.677631e+10, -1.468745e+11,2.732144e+10, 7.548996e+11,1.898904e+11
